what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1347835482406
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1347835482406
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1347835482407
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1347835482409
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1347835482410
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1347835482411
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1347835482411
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1347835482412
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1347835482414
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1347835482414
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1347835482415
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1347835482416
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1347835482417
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1347835482418
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1347835482421
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1347835482421
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1347835482421
os,sysinfo,,,"macosx",1347835482424
arch,sysinfo,,,"x86_64",1347835482424
ws,sysinfo,,,"cocoa",1347835482424
locale,sysinfo,,,"en_US",1347835482424
processors,sysinfo,,,"8",1347835482424
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1347835482424
java.runtime.version,sysinfo,,,"1.6.0_35-b10-428-11M3811",1347835482424
java.specification.name,sysinfo,,,"Java Platform API Specification",1347835482424
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1347835482424
java.specification.version,sysinfo,,,"1.6",1347835482424
java.vendor,sysinfo,,,"Apple Inc.",1347835482424
java.version,sysinfo,,,"1.6.0_35",1347835482424
java.vm.info,sysinfo,,,"mixed mode",1347835482424
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1347835482424
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1347835482424
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1347835482424
java.vm.specification.version,sysinfo,,,"1.0",1347835482424
java.vm.vendor,sysinfo,,,"Apple Inc.",1347835482424
java.vm.version,sysinfo,,,"20.10-b01-428",1347835482424
error,log,,,"fileChanged: failed to find manifest package for project AVFapp",1347835482708
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1347835483436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347835483456
error,log,,,"File is Out of sync",1347835485322
